Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Sarcophilus,,,,Fur,,Animalia,,Sarcophilus Harrisii,Tasmanian Devil,Omnivore,24km/h (15mph),,3,,,Mammalia,Solitary,,"Black, Grey, Brown, White",,5-8 years,"Snakes, Human, Wild dogs",,,Dasyuromorphia,,Dasyuridae,Forest underbrush,Threatened,,6-8kg (13-18lbs),Chordata
18,Mammal,Tarsius,Habitat loss,"Insects, Lizards, Birds",A number of south-east Asian islands,Fur,180 days,Animalia,8 weeks,Tarsius,Tarsier,Carnivore,40kph (24mph),Declining,1,,"Western Tarsier, Eastern Tarsier, Philippine Tarsier",Mammalia,Nocturnal,1 - 2 years,"Grey, Brown, Ochre, Golden",Infant,12 - 20 years,"Cats, Snakes, Birds of Prey",Each eye weighs more than their whole brain!,Tarsier,Primates,Solitary/Group,Tarsiidae,"Forests, mangroves and scrub",Endangered,Long and powerful hind legs,80g - 165g (2.8oz - 5.8oz),Chordata
,,Tapirus,,,,Hair,,Animalia,,Tapirus,Tapir,Herbivore,48km/h (30mph),,1,,,Mammalia,Solitary,,"White, Black, Brown, Grey",,20-25 years,"Human, Wild Cats, Crocodile",,,Perissodactyla,,Tapiridae,"Lowland, moist forests",Endangered,,150-300kg (330-700lbs),Chordata
1,Mammal,Pongo,Habitat loss and hunting,"Fruits, Shoots, Insects",northwestern Sumatra,Hair,9 months,Animalia,3 years,Pongo tapanuliensis,Tapanuli Orang-utan,Omnivore,6kph (2.7mph),800,1,,"Red Ape, Forest Person",Mammalia,Diurnal,12 - 15 years,"Red, Orange, Grey, Brown, Black",Infant,30 - 40 years,"Sumatran Tiger, Humans",Uses homemade tools to help with eating and drinking!,Tapanuli Orang-utan,Primates,Solitary,Hominidae,Tropical and subtropical broadleaf forests,Critically Endangered,"Long arms and long, orange hair",30kg - 82kg (66lbs - 180lbs),Chordata
,,Zebrasoma,,,,Scales,,Animalia,,Acanthuridae,Tang,Omnivore,,,,15cm - 40cm (6in - 16in),,Actinopterygii,,,"Black, Yellow, Red, Blue, Silver",,8 - 12 years,"Fish, Eels, Crustaceans",,Tang,Perciformes,,Acanthuridae,Shallow tropical coral reefs,Threatened,,,Chordata
,,Cygnus,,,,Feathers,,Animalia,,Cygnus Atratus,Swan,Omnivore,80km/h (50mph),,,91cm - 150cm (36in - 60in),,Aves,Flock,,"Black, White, Grey, Orange",,8 - 12 years,"Human, Wolf, Raccoon",,,Anseriformes,,Anatidae,"Large, shallow wetlands and open water",Threatened,,10kg - 15kg (22lbs - 33lbs),Chordata
2,Mammal,Helarctos,Hunting and habitat loss,"Fruits, Honey, Insects",South-east Asia,Fur,3 - 8 months,Animalia,18 months,Helarctos malayanus,Sun Bear,Omnivore,48kph (30mph),Unknown,2,,"Malaysian Sun Bear, Malay Bear, Honey Bear, Dog Bear",Mammalia,Diurnal/Nocturnal,3 - 4 years,"Black, Brown, Red, Grey, White, Yellow, Orange",Cub,15 - 30 years,"Tiger, Snakes, Birds of Prey",The smallest species of bear in the world!,Sun Bear,Carnivora,Solitary,Ursidae,"Primarily, lowland tropical forests",Vulnerable,Yellow or orange U-shaped marking on chest,30kg - 60kg (66lbs - 132lbs),Chordata
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Sumatrae,Sumatran Tiger,Carnivore,96km/h (60mph),,3,,,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Dense tropical forest,Endangered,,80kg - 150kg (176lbs - 330lbs),Chordata
,,Dicerorhinus,,,,Leather,,Animalia,,Dicerorhinus Sumatrensis,Sumatran Rhinoceros,Herbivore,42km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black",,30-45 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and savannas",Critically Endangered,,"500kg - 800kg (1,100lbs - 1,760lbs)",Chordata
1,Mammal,Pongo,Hunting and habitat loss,"Fruits, Shoots, Insects",Northern Sumatra,Hair,9 months,Animalia,3 years,Pongo abelii,Sumatran Orang-utan,Omnivore,6kph (2.7mph),"4,000",1,,"Red Ape, Forest Person",Mammalia,Diurnal,12 - 15 years,"Red, Orange, Grey, Brown",Infant,30 - 40 years,"Sumatran Tiger, Humans",Known to make mental maps of the forest!,Sumatran Orang-utan,Primates,Solitary,Hominidae,"Dense, tropical forest",Critically Endangered,"Long arms and long, orange hair",30kg - 82kg (66lbs - 180lbs),Chordata
,,Elephas,,,,Leather,,Animalia,,Elephas Maximus Sumatranus,Sumatran Elephant,Herbivore,43km/h (27mph),,1,,,Mammalia,Herd,,"Grey, Brown, Black",,55 - 70 years,"Human, Tiger",,,Proboscidea,,Elephantidae,Rainforest and tropical woodland,Critically Endangered,,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",Chordata
,,Litoria,,,,Permeable,,Animalia,,Litoria Nasuta,Striped Rocket Frog,Carnivore,8km/h (5mph),,,5cm - 5.5cm (1.9in - 2.1in),,Amphibia,Solitary,,"Brown, Green, Black, Tan",,10 - 15 years,"Foxes, Cats, Birds",,,Anura,,Hylidae,Woodland swamps and ponds,Least Concern,,5g - 8g (0.17oz - 0.28oz),Chordata
,,Mustela,,,,Fur,,Animalia,,Mustela Erminea,Stoat,Carnivore,32km/h (20mph),,8,,,Mammalia,Solitary,,"Tan, Black, Brown, White",,4-6 years,"Fox, Snake, Wild Cats",,,Carnivora,,Mustelidae,Moorland and woodlands,Least Concern,,200-500g (7-17.6oz),Chordata
,,,,,,Scales,,Animalia,,Dasyatis Centroura,Stingray,Carnivore,48km/h (30mph),,8,50cm - 200cm (19.6in - 79in),,Chondrichthyes,Solitary,,,,15 - 25 years,"Sharks, Fish, Seals",,,Rajiformes,,Dasyatidae,"Warm, tropical waters",Threatened,,25kg - 97kg (55lbs - 214lbs),Chordata
,,,,,,Shell,,Animalia,,Phasmatodea,Stick Insect,Herbivore,,,"1,000",,,Insecta,,,"Green, Brown, Tan, Grey",,,"Birds, Rodents, Reptiles",,Stick Insect,Phasmatodea,,,"Forest, jungles and woodland",Threatened,,,
,,Hydrodamalis,,,,Smooth,,Animalia,,Hydrodamalis Gigas,Stellers Sea Cow,Herbivore,,,1,8m - 9m (26ft - 30ft),,Mammalia,Herd,,"Grey, Brown, Black",,50 - 80 years,Large sharks and humans,,,Sirenia,,Dugongidae,Arctic Tundra,Extinct,,8000kg (8.8tons),Chordata
,,,,,,Rough,,Animalia,,Protoreaster Nodosus,Starfish,Omnivore,12.8km/h (8mph),,"1,000,000",,,Asteroidea,Solitary,,,,3-27 years,"Fish, Rays, Sharks",,,,,,Shallow to deeper coastal waters,Threatened,,0.1-6kg (0.2-13lbs),Echinodermata
,,,,,,Shell,,Animalia,,Lucanidae  ,Stag Beetle,Omnivore,,,100,5cm - 12cm (2in - 4.8in),,Insecta,,,"Black, Brown, Green, Blue, White, Yellow",,,"Bats, Rats, Birds",,Stag Beetle,Coleoptera,,Lucanidae,Deciduous woodland,Threatened,,,Arthropoda
,,Elephas,,,,Leather,,Animalia,,Elephas Maximus Maximus,Sri Lankan Elephant,Herbivore,43km/h (27mph),,1,,,Mammalia,Herd,,"Grey, Brown, Black",,55 - 70 years,"Human, Tiger",,,Proboscidea,,Elephantidae,Rainforest and tropical woodland,Endangered,,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",Chordata
5,Mammal,Saimiri,Habitat loss,"Fruit, Insects, Flowers",Central and South America,Fur,170 days,Animalia,4 months,Saimiri,Squirrel Monkey,Omnivore,35kph (22mph),Not Known,1,,Deaths Head Monkey,Mammalia,Diurnal,3 - 5 years,"Olive, Grey, Yellow, Black",Infant,15 - 20 years,"Birds of Prey, Snakes, Humans",Lives in groups of up to 500 individuals!,Squirrel Monkey,Primates,Troop,Cebidae,"Dense, tropical jungle close to a stream",Least Concern,Longer tail than body used for balance,0.75kg -1.1k g (1.7lbs - 2.4lbs),Chordata
,,,,,,Fur,,Animalia,,Sciuridae,Squirrel,Omnivore,25km/h (16mph),,3,,,Mammalia,Solitary,,"Black, Grey, Brown, Tan, Red",,2-8 years,"Snakes, Coyote, Weasels",,,Rodentia,,Sciuridae,Woodland and dense forests,Threatened,,"250-1,000g (0.5-2.2lbs)",Chordata
,,,,,,Smooth,,Animalia,,Teuthida ,Squid,Carnivore,30km/h (18mph),,5,,,Cephalopoda,Solitary,,"Black, Grey, Brown, White",,5-30 years,"Human, Seal, Whales",,,Teuthida,,Oegopsina,Cooler and temperate waters,Least Concern,,"0.3-500kg (0.6-1,102lbs)",Mollusca
,,,,,,Smooth,,Animalia,,Demospongiae,Sponge,,,,"1,000s",,,Demospongiae,,,"Green, Red, Blue, Yellow, Orange, Brown",,,"Fish, Turtles. Crustaceans",,Sponge,,,,Saltwater seafloors,Threatened,,,Porifera
,,Squalus,,,,Smooth,,Animalia,,Squalus Acanthias,Spiny Dogfish,Carnivore,,,,,,Chondrichthyes,,,"Grey, Black, Brown, White",,25-80 years,"Sharks, Whales, Humans",,Dogfish,Squaliformes,,Squalidae,Bays and inshore waters,Threatened,,,Chordata
,,Ateles,,,,Hair,,Animalia,,Simia Paniscus,Spider Monkey,Omnivore,56km/h (35mph),,1,,,Mammalia,Troop,,"Black, Grey, Brown, White",,15-27 years,"Human, Eagles, Jaguar",,,Primates,,Atelidae,Tropical jungle and rainforest,Least Concern,,6.4-12kg (14-26lbs),Chordata
,,Physeter,,,,Smooth,,Animalia,,Physeter Macrocephalus,Sperm Whale,Carnivore,,,1,6m - 20.5m (19.7ft - 67ft),,Mammalia,,,"Grey, Blue, Black, White",,50 - 70 years,"Sharks, Humans, Killer Whales",,Sperm Whale,Cetacea,,Physeteridae,Deep off-shore waters,Vulnerable,,,Chordata
,,Tremarctos,,,,Fur,,Animalia,,Tremarctos Ornatus,Spectacled Bear,Omnivore,48km/h (30mph),,2,,,Mammalia,Solitary,,"Black,White, Grey",,20 - 30 years,"Human, Jaguar, Mountain lion",,,Carnivora,,Ursidae,Coastal forests and deserts,Endangered,,130kg - 200kg (286lbs - 440lbs),Chordata
,,,,,,Feathers,,Animalia,,Passeridae,Sparrow,Omnivore,40km/h (25mph),,,,,Aves,Flock,,"White, Black, Grey, Brown, Tan, Blue, Yellow",,4 - 7 years,"Cats, Snakes, Hawks",,,Passeriformes,,Passeridae,Countryside and woodland,Least Concern,,13.4g - 42g (0.5oz - 1.5oz),Chordata
,,Pelobates,,,,Permeable Scales,,Animalia,,Mesobatrachia,Spadefoot Toad,Omnivore,17km/h (10mph),,250,,,Amphibia,Solitary,,"Brown, Tan, Grey",,4-8 years,"Birds, Fish, Snakes",,,Mesobatrachia,,Pelobatidae,Marshland prairies and open floodplains,Least Concern,,50-100g (1.7-3.5oz),Chordata
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Amoyensis,South China Tiger,Carnivore,96km/h (60mph),,3,,,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Dense tropical forest,Endangered,,100kg - 195kg (221lbs - 430lbs),Chordata
,,Bubo,,,,Feathers,,Animalia,,Bubo Scandiacus,Snowy Owl,Omnivore,80km/h (50mph),,,,,Aves,Solitary,,"Black, White, Grey",,10 - 17 years,"Human, Foxes, Wild dogs",,,Strigiformes,,Strigidae,Woodland within the Arctic tundra,Least Concern,,1.1kg - 2kg (2.4lbs - 4.4lbs),Chordata
,,Chelydra,,,,Scales,,Animalia,,Chelydridae,Snapping Turtle,Omnivore,4km/h (2.4mph),,35,,,Reptilia,Solitary,,"Brown, Tan, Black",,20-32 years,"Human, Raccoon, Alligator",,,Testudines,,Chelydridae,"Slow rivers, lakes and marshland",Threatened,,16-136kg (35-300lbs),Chordata
,,,,,,Shell,,Animalia,,Achatinoidea  ,Snail,Herbivore,,,200,0.5cm - 80cm (0.2in - 32in),,Gastropoda,,,"Black. Brown, Yellow, Tan",,,"Rodents, Frogs, Birds",,Snail,Achatinoidea,,,Well-vegetated areas,Least Concern,,0.01kg - 18kg (0.02lbs - 40lbs),Mollusca
,,Anguis,,,,Scales,,Animalia,,Anguis Fragilis,Slow Worm,Carnivore,0.5km/h (0.3mph),,,20cm - 50cm (8in - 20in),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow, Grey",,10 - 30 years,"Cats, Dogs, Birds",,,Squamata,,Anguidae,Grassland and woodlands,Least Concern,,20g - 100g (0.7oz - 3.5oz),Chordata
,,Bradypus,,,,Fur,,Animalia,,Choloepus Hoffmani,Sloth,Omnivore,24km/h (15mph),,1,,,Mammalia,Solitary,,"Brown, Tan, White, Grey",,25-40 years,"Eagles, Snakes, Jaguar",,,Pilosa,,Bradypodidae,Tall trees in tropical rainforest,Endangered,,4.5-6kg (10-13lbs),Chordata
,,Mephitis,,,,Fur,,Animalia,,Mephitis Mephitis,Skunk,Omnivore,16km/h (10mph),,6,,,Mammalia,Solitary,,"Black, White, Grey",,5-8 years,"Owls, Coyote, Wild cats",,,Carnivora,,Mephitidae,Open woodland and dense shrub,Least Concern,,0.5-6.3kg (1.1-14lbs),Chordata
,,Metynnis,,,,Scales,,Animalia,,Metynnis Argenteus,Silver Dollar,Omnivore,,,"2,000",5cm - 14cm (2in - 5.5in),,Actinopterygii,,,"Silver, Grey",,2 - 10 years,"Large fish, Birds, Reptiles",,Silver Dollar,Characiformes,,Characidae,Tropical well-vegetated rivers,Least Concern,,,Chordata
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Altaica,Siberian Tiger,Carnivore,96km/h (60mph),,3,,,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Dense tropical forest,Endangered,,100kg - 350kg (220lbs - 770lbs),Chordata
,,Betta,,,,Scales,,Animalia,,Betta Splendens,Siamese Fighting Fish,Carnivore,,,,6cm - 8cm (2.4in - 3.1in),,Actinopterygii,,,,,1 - 4 years,"Fish, Cat, Salamander",,Siamese Fighting Fish,Perciformes,,Osphronemidae,Mekong river in south-east Asia,Least Concern,,,Chordata
,,,,,,Shell,,Animalia,,Caridea,Shrimp,Omnivore,,,,,,Crustacea,,,,,1-2 years,"Fish, Crabs, Whales",,Shrimp,Decapoda,,Caridea,All water regions around the world,Threatened,,,Arthropoda
,,Ovis,,,,Wool,,Animalia,,Ovis Aries,Sheep,Herbivore,40km/h (25mph),,1,,,Mammalia,Herd,,"Brown, White, Yellow, Black",,5-10 years,"Human, Wolves, Coyote",,,Artiodactyla,,Bovidae,Grass plains and mountainous regions,Least Concern,,40-130kg (88-298lbs),Chordata
10,Mammal,Leptailurus,Habitat loss and hunting,"Rodents, Birds, Frogs",Sub-Saharan Africa,Fur,72 days,Animalia,5 months,Leptailurus serval,Serval,Carnivore,64kph (40mph),Stable,2,60cm - 100cm (23.6in - 39.4in),African Serval,Mammalia,Crepuscular,18 - 24 months,"Yellow, Orange, Brown, Black, White",Kitten,10 - 20 years,"Human, Leopard, Hyena",Can leap more than 1 meter into the air!,Serval,Carnivora,Solitary,Felidae,Wetlands and grasslands close to water,Least Concern,Large and round dish-like ears,3.5kg - 19kg (7.7lbs - 41.9lbs),Chordata
,,,,,,Smooth,,Animalia,,Phoca vitulina,Seal,Carnivore,44km/h (27mph),,1,,,Mammalia,Herd,,"Brown, Tan, White, Black",,15-25 years,"Human, Sharks, Killer Whale",,,Carnivora,,Pinnipedia,Coastal waters and rocky shores,Threatened,,"105-3,000kg (230-6,000lbs)",Chordata
,,Hippocampus,,,,Skin,,Animalia,,Hippocampus,Seahorse,Omnivore,,,,2.5cm - 30cm (0.9in - 12in),,Actinopterygii,,,,,2 - 6 years,"Fish, Crabs, Rays",,Seahorse,Syngnathiformes,,Syngnathidae,Shallow tropical waters and coral reefs,Endangered,,,Chordata
,,,,,,Plates,,Animalia,,Echinoidea,Sea Urchin,,,,,,,Echinoidea,,,,,15-200 years,"Fish, Birds, Crabs, Sea Otter",,Sea Urchin,Echinoida,,,Rocky ocean floor and coral reefs,Threatened,,,Echinodermata
,,,,,,Scales,,Animalia,,Chelonioidea,Sea Turtle,Omnivore,4km/h (2.4mph),,100,,,Reptilia,Solitary,,"Brown, Tan, Green",,60-80 years,"Human, Sharks, Killer Whale",,,Testudines,,Chelonioidea,Tropical coastal waters and beaches,Endangered,,158-400kg (350-882lbs),Chordata
,,,,,,Permeable,,Animalia,,Urochordata,Sea Squirt,,,,"1,000",,,Urochordata,,,"Green, Red, Blue, Yellow, Orange, Brown, Pink, White",,,"Eels, Snails, Starfish",,Sea Squirt,,,,Coastal Waters,Threatened,,100-200g (3.5-7oz),Chordata
,,,,,,Smooth,,Animalia,,Holothuroidea,Sea Slug,Herbivore,,,,,,Holothuroidea,,,"Tan, Black, White, Yellow, Orange, Purple",,1-4 years,"Fish, Crabs, Lobsters",,Sea Slug,,,,Shallow and deep oceans,Least Concern,,,Echinodermata
,,Enhydra,,,,Fur,,Animalia,,Enhydra Lutris,Sea Otter,Omnivore,11km/h (7mph),,1,,,Mammalia,Solitary,,"Black, Brown, Tan",,12-15 years,"Sharks, Humans, Killer Whales",,,Carnivora,,Mustelidae,Unpolluted areas close to the shore,Endangered,,14-45kg (30-100lbs),Chordata
,,,,,,Fur,,Animalia,,Otariidae,Sea Lion,Omnivore,44km/h (27mph),,1,,,Mammalia,Herd,,"Brown, Tan, Grey",,15-22 years,"Human, Sharks, Killer Whale",,,Carnivora,,Otariidae,Coastal waters and rocky shorelines,Threatened,,"300-1,000kg (660-2,200lbs)",Chordata
,,Phycodurus,,,,Scales,,Animalia,,Phycodurus Eques,Sea Dragon,Carnivore,,,,20cm - 24cm (10in - 12in),,Actinopterygii,,,"Brown, Black, Yellow, White, Tan, Grey, Green, Red, Orange",,2 - 10 years,Large Fish,,Sea Dragon,Syngnathiformes,,Syngnathidae,Tropical coastal waters,Threatened,,,Chordata
,,,,,,Scales,,Animalia,,Scorpaenidae,Scorpion Fish,Omnivore,,,,14cm - 45cm (6in - 18in),,Actinopterygii,,,"Brown, Black, Yellow, White, Red, Orange",,10 - 15 years,"Large Fish, Humans, Sea Lions",,,Scorpaeniformes,,Scorpaenidae,Tropical reefs and rocky crevices,Least Concern,,,Chordata
,,,,,,Shell,,Animalia,,Scorpiones,Scorpion,Carnivore,19km/h (12mph),,6,,,Arachnida,Solitary,,"Brown, Black, Yellow, Red, White",,4-25 years,"Rodents, Birds, Lizards",,,Scorpiones,,Scorpionoidea,"Dry desert, grassland, savanna and tropical jungles",Least Concern,,10-100g (0.4-3.5oz),Arthropoda
1,Mammal,Pseudoryx,Habitat loss and hunting,"Leaves, Grasses, Herbs",Mountains of Vietnam-Laos border,Fur,8 months,Animalia,6 - 8 months,Pseudoryx nghetinhensis,Saola,Herbivore,40kph (23mph),less than 250,1,150cm - 200cm (59in - 77in),Asian Unicorn,Mammalia,Diurnal,2 - 3 years,"Brown, Black, Red",Calf,8 - 12 years,"Human, Tiger, Crocodile",Only known to science since 1992!,Saola,Artiodactyla,Mainly solitary,Bovidae,Moist and dense evergreen forest,Critically Endangered,Horns that can grow up to 50cm long,80kg - 100kg (176lbs - 220lbs),Chordata
,,Lacerta,,,,Scales,,Animalia,,Lacerta Agilis,Sand Lizard,Carnivore,48km/h (30mph),,,13cm - 20cm (5in - 7.8in),,Reptilia,Solitary,,"Green, Black, Brown, Tan",,5 - 8 years,"Birds, Cats, Foxes",,,Squamata,,Lacertidae,Grass and heathland,Threatened,,10g - 15g (0.35oz - 0.5oz),Chordata
,,,,,,Permeable Scales,,Animalia,,Caudata,Salamander,Carnivore,42km/h (30mph),,300,,,Amphibia,Solitary,,"Brown, Green, Black, Yellow, Red, White",,5-20 years,"Fish, Snakes, Birds",,,Caudata,,Salamandroidea,"Rainforest, streams and wetlands",Threatened,,0.1-65kg (0.2-143lbs),Chordata
,,Smilodon,,,,Fur,,Animalia,,Smilodon populator,Sabre-Toothed Tiger,Carnivore,,,3,2m - 2.5m (79in - 98in),,Mammalia,Pack,,"Tan, Brown, Yellow, Black, White",,20 - 40 years,Humans,,,Carnivora,,Felidae,Forests and grasslands,Extinct,,300kg (661lbs),Chordata
,,Eudyptes,,,,Feathers,,Animalia,,Eudyptes Schlegeli,Royal Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Yellow",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Vulnerable,,3kg - 6kg (6.6lbs - 13lbs),Chordata
1,Bird,Ajaja,Water pollution,"Minnows, Shrimp, Insects","Gulf Coast, Central and South America",Feathers,,Animalia,,Ajaja ajaja,Roseate Spoonbill,Omnivore,,Sustainable ,,,,Aves,Diurnal,3 - 4 years,"Pink, White, Red, Black",Chick,10 - 15 years,"Alligators, Coyotes, Humans",The only Spoonbill in the western hemisphere! ,Roseate Spoonbill,Ciconiiformes,Flock,Threskiornithidae,Shallow wetlands and mangrove swamps,Least Concern,"A long, spatula-shaped bill",1.2kg - 1.8kg (2.6lbs - 4lbs),Chordata
,,Eudyptes,,,,Feathers,,Animalia,,Eudyptes Chrysocome,Rockhopper Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Least Concern,,2kg - 5kg (4.4lbs - 11lbs),Chordata
2,Mammal,Procavia,Habitat loss,"Grasses, Fruits, Lizards",eastern to southern Africa,Fur,8 months,Animalia,4 months,Procavia capensis,Rock Hyrax,Omnivore,30kph (18mph),Sustainable,2,45cm - 55cm (17.7in - 21.6in),"Rock Dassie, Rock Rabbit",Mammalia,Diurnal,16 - 17 months,"Brown, Tan, Grey, Yellow, White",Pup,5 - 12 years,"Leopards, Large Birds, Snakes",Actually related to Elephants and Manatees!,Rock Hyrax,Hyracoidea,Colony,Procaviidae,Dry savanna and rainforest,Least Concern,Rubbery soles of their feet,3kg - 4kg (6.6lbs - 8.8lbs),Chordata
,,Erithacus,,,,Feathers,,Animalia,,Erithacus Rubecula,Robin,Omnivore,29km/h (18mph),,,12.5cm - 14cm (5in - 5.5in),,Aves,Solitary,,"Brown, White, Orange",,1 - 3 years,"Cats, Dogs, Raccoon, Foxes",,,Passeriformes,,Muscicapidae,"Woodland, farmland and hedgerows",Threatened,,16g - 22g (0.5oz - 0.7oz),Chordata
,,,,,,Shell,,Animalia,,Emydidae,River Turtle,Omnivore,4km/h (2.4mph),,35,,,Reptilia,Solitary,,"Green, Brown, Black, Yellow",,10-30 years,"Fox, Dog, Human",,,Testudines,,Emydidae,"Slow-moving rivers, streams and ponds",Threatened,,0.5-8kg (1.1-18lbs),Chordata
,,Platanistidae,,,,Smooth,,Animalia,,Platanistoidea ,River Dolphin,Carnivore,30km/h (18mph),,1,,,Mammalia,School,,"Grey, Pink",,12-18 years,Human,,,Cetacea,,Platanistoidea,Large tropical rivers and estuaries,Endangered,,100-200kg (220-440lbs),Chordata
,,Rangifer,,,,Fur,,Animalia,,Rangifer Tarandus,Reindeer,Herbivore,80km/h (50mph),,1,,,Mammalia,Herd,,"Brown, White, Tan, Grey",,12-15 years,"Human, Bears, Wolves",,,Artiodactyla,,Cervidae,Forests close to the Arctic tundra,Least Concern,,60-320kg (132-705lbs),Chordata
,,,,,,Leather,,Animalia,,Rhinocerotidae,Rhinoceros,Herbivore,48km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black",,35-50 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and savannas",Endangered,,"800-3,500kg (1,765-7,716lbs)",Chordata
,,Saguinus,,,,Fur,,Animalia,,Saguinus Midas,Red-handed Tamarin,Omnivore,40km/h (24mph),,2,18cm - 30cm (7in - 12in),,Mammalia,Troop,,"Black, Brown, Tan, Gold, Red",,8 - 15 years,"Hawks, Snakes, Wild Cats",,,Primates,,Callitrichidae,Lowland tropical forest,Least Concern,,220g - 900g (7.7oz - 32oz),Chordata
,,Canis,,,,Fur,,Animalia,,Canis Lupus Rufus,Red Wolf,Carnivore,75km/h (46mph),,5,95cm - 120cm (37in - 47in),,Mammalia,Pack,,"Red, Grey, Black, Brown, White",,10 - 12 years,"Wolves, Coyotes, Humans",,,Carnivora,,Canidae,Coastal prairie and marshland,Critically Endangered,,18kg - 41kg (40lbs - 90lbs),Chordata
1,Mammal,Ailurus,Habitat loss,"Bamboo, Berries, Eggs",Himalayas ,Fur,4 months,Animalia,5 months,Ailurus fulgens,Red Panda,Omnivore,38kph (24mph),"less than 3,000",3,60cm - 120cm (24in - 47in),"Lesser Panda, Fire Fox",Mammalia,Nocturnal,18 months,"Red, Brown, White",Cub,8 - 12 years,"Snow Leopard, Marten, Human","There are less than 3,000 left in the wild!",Red Panda,Carnivora,Solitary,Ailuridae,High-altitude mountain forest,Endangered,Rusty coloured thick fur and striped face,3kg - 6.2kg (7lbs - 14lbs),Chordata
,,Brachypelma,,,,Hair,,Animalia,,Brachypelma Smithi,Red Knee Tarantula,Carnivore,29km/h (18mph),,40,,,Arachnida,Solitary,,"Red, Black, Brown, White",,20-30 years,"Birds, Reptiles, Mammals",,,Araneae,,Theraphosidae,Semi-desert and scrub land,Threatened,,15-16g (0.5-0.6oz),Arthropoda
,,Rattus,,,,Fur,,Animalia,,Rattus Rattus,Rat,Omnivore,13km/h (8mph),,8,,,Mammalia,Solitary,,"Grey, Black, White, Brown",,2-5 years,"Owls, Snakes, Raccoon, Cats",,,Rodentia,,Muridae,Underground close to human settlements,Least Concern,,200-900g (0.4-2lbs),Chordata
1,Reptile,Astrochelys,Habitat loss,"Grasses, Fruits, Flowers",southern Madagascar,Scales,,Animalia,,Astrochelys radiata,Radiated Tortoise,Herbivore,0.5kph (0.3mph),Declining,,30cm - 41cm (12in - 16in),Sokake,Reptilia,Diurnal,15 - 20 years,"Green, Black, Brown, Tan, Yellow",Hatchling,30 - 80 years,"Birds, Reptiles, Humans",The most protected tortoise in the world!,Radiated Tortoise,Testudines,Solitary,Testudinidae,Dry tropical forest,Critically Endangered,,2.2kg - 16kg (4.9lbs - 35lbs),Chordata
,,Nyctereutes,,,,Fur,,Animalia,,Nyctereutes Procyonoides,Raccoon Dog,Carnivore,40km/h (25mph),,8,50cm - 65cm (19.6in - 26in),,Mammalia,Pack,,"Tan, Black, Brown, Yellow",,3 - 8 years,"Foxes, Wolves, Wildcats",,,Carnivora,,Canidae,Thick forests close to water,Least Concern,,3kg - 10kg (6.6lbs - 22lbs),Chordata
,,Procyon,,,,Fur,,Animalia,,Procyon Lotor,Raccoon,Omnivore,24km/h (15mph),,5,,,Mammalia,Solitary,,"Grey, Black, White, Brown",,12-16 years,"Bobcat, Foxes, Wolves, Mountain Lions",,,Carnivora,,Procyonidae,Woodland areas close to water,Least Concern,,3.5-9kg (7.7-19.8lbs),Chordata
,,Oryctolagus,,,,Fur,,Animalia,,Oryctolagus cuniculus,Rabbit,Herbivore,4km/h (2.4mph),,6,,,Mammalia,Group,,"Brown, Tan, Grey, Black, White",,4-8 years,"Fox, Snakes, Large Birds",,,Lagomorpha,,Leporidae,"Forest thickets, meadows and woodland",Least Concern,,0.5-3kg (1.1-6.6lbs),Chordata
