Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Stegostoma,,,,Smooth,,Animalia,,Stegostoma Fasciatum,Zebra Shark,Omnivore,,,10,,,Chondrichthyes,,,"Brown, Black, Yellow, White, Grey",,15-20 years,"Large Sharks, Humans",,,Orectolobiformes,,Stegostomatidae,"Tropical, coastal waters",Threatened,,16-20kg (35-44lbs),Chordata
3,Mammal,Equus,Habitat loss,"Grasses, Leaves, Buds",Eastern and Southern Africa,Hair,10 - 12 months,Animalia,11 months,"Equus zebra, Equus quagga, Equus grevyi",Zebra,Herbivore,40kph (25mph),Declining,1,2m - 2.75m (6.6ft - 9ft),"Mountain Zebra, Common Zebra, Plains Zebra, Burchells Zebra, Grevys Zebra",Mammalia,Diurnal,3 - 4 years,"Black, White, Brown",Foal,20 - 30 years,"Lions, Leopards, Hyenas",Stripe patterns are unique to each individual!,Zebra,Perissodactyla,Herd,Equidae,Open grassland and plains,Endangered,"Long, slender legs and one toe on each foot",220kg - 405kg (485lbs - 893lbs),Chordata
,,Megadyptes,,,,Feathers,,Animalia,,Megadyptes Antipodes,Yellow-Eyed Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Brown, Yellow",,10 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Endangered,,5kg - 8kg (11lbs - 18lbs),Chordata
,,Bos,,,,Hair,,Animalia,,Bos Grunniens,Yak,Herbivore,40km/h (25mph),,1,,,Mammalia,Herd,,"Brown, Black, White",,15-20 years,"Human, Bears, Wolves",,,Artiodactyla,,Bovidae,Alpine meadows and open hills,Threatened,,"300-1,000kg (661-2,200lbs)",Chordata
1,Fish,Pristella,Water Pollution,"Worms, Insects, Small Crustaceans","Brazil, Guiana, Guyana, and Venezuela",Scales,,Animalia,,Pristella maxillaris,X-Ray Tetra,Omnivore,,Abundant,,,"Golden Pristella Tetra, Water Goldfinch",Actinopterygii,Diurnal,5 - 8 months,"Silver, Yellow, Black, White",Fry,2 - 5 years,"Larger Fish, Frogs, Birds","Yellow, black and white striped fins!",X-Ray Tetra,Characiformes,School,Characidae,Amazon coastal waters,Not Listed,,,Chordata
,,,,,,Scales,,Animalia,,Labridae,Wrasse,Carnivore,,,,11cm - 250cm (4in - 98in),,Actinopterygii,,,"Grey, Black, Brown, White, Yellow, Green, Blue, Orange",,3 - 10 years,"Sharks, Lionfish, Barracuda",,Wrasse,Perciformes,,Labridae,Coral reefs and rocky shores,Least Concern,,,Chordata
,,Lagothrix,,,,Fur,,Animalia,,Lagothrix Lagotricha,Woolly Monkey,Omnivore,56km/h (35mph),,1,,,Mammalia,Troop,,"Black, Brown, Grey",,7-10 years,"Human, Wildcats, Birds of Prey",,,Primates,,Atelidae,Humid and mature tropical forests,Threatened,,5-8kg (11-18lbs),Chordata
,,Mammuthus,,,,Hair,,Animalia,,Mammuthus Primigenius,Woolly Mammoth,Herbivore,,,1,,,Mammalia,Herd,,"Brown, Black, Tan",,60 - 80 years,Sabre-toothed cats and humans,,,Proboscidea,,Elephantidae,Arctic Tundra,Extinct,,8000kg (8.8tons),Chordata
,,,,,,Feathers,,Animalia,,Picidae,Woodpecker,Omnivore,24km/h (15mph),,,,,Aves,Solitary,,"Black, White, Grey, Tan, Brown, Red, Green",,6-11 years,"Rat, Snakes, Wild cats",,,Piciformes,,Picidae,Dense forest and woodland,Least Concern,,7-600g (0.2-21oz),Chordata
,,,,,,Shell,,Animalia,,Oniscidea,Woodlouse,Herbivore,,,24,,,Crustacea,,,"Grey, Black, Brown",,,"Toads, Centipedes, Spiders",,Woodlouse,Isopoda,,Oniscidea,Moist environments,Least Concern,,,Arthropoda
,,Vombatus,,,,Fur,,Animalia,,Vombatus Ursinus,Wombat,Herbivore,40km/h (25mph),,1,,,Mammalia,Solitary,,"Brown, Tan, Grey",,20-26 years,"Dingo, Fox, Wild dogs",,,Diprotodontia,,Vombatidae,Woodland and coastal shrub land,Endangered,,20-35kg (44-77lbs),Chordata
,,Gulo,,,,Fur,,Animalia,,Gulo Gulo,Wolverine,Carnivore,48km/h (30mph),,3,,,Mammalia,Solitary,,"Sandy, White, Black, Brown",,10-15 years,"Human, Wolves, Bears",,,Carnivora,,Mustelidae,Mountainous regions and dense forest,Threatened,,10-31kg (22-70lbs),Chordata
,,Canis,,,,Fur,,Animalia,,Canis Rufus,Wolf,Carnivore,75km/h (46mph),,4,,,Mammalia,Pack,,"Black, Brown, Grey, White",,10-12 years,Human,,,Carnivora,,Canidae,Grass plains and woodland,Threatened,,25-40kg (55-88lbs),Chordata
,,Connochaetes,,,,Hair,,Animalia,,Connochaetes Taurinus,Wildebeest,Herbivore,61km/h (38mph),,1,,,Mammalia,Herd,,"Black, Brown, Tan",,15-20 years,"Lion, Cheetah, Crocodile",,,Artiodactyla,,Bovidae,Grass plains and bush covered savanna,Endangered,,120-250kg (265-550lbs),Chordata
4,Mammal,Sus,Habitat loss,"Berries, Roots, Worms",Throughout Europe and Asia,Fur,3 - 4 months,Animalia,2 - 3 months,Sus scrofa,Wild Boar,Omnivore,48kph (30mph),Sustainable,5,,"Wild Pig, Wild Hog, Boar",Mammalia,Nocturnal,7 - 10 months,"Brown, Red, Black, Grey",Piglet,15 - 20 years,"Tiger, Wolves, Humans",Males have a top tusk to sharpen the bottom one!,Wild Boar,Artiodactyla,Sounder,Suidae,Deciduous broad-leaf forests,Least Concern,"Long, hard and straight snout",80kg - 175kg (176lbs - 386lbs),Chordata
1,Mammal,Panthera,Habitat loss,"Deer, Cattle, Wild Boar",Indian subcontinent,Fur,103 days,Animalia,6 months,Panthera tigris tigris,White Tiger,Carnivore,96kph (60mph),0 in wild,3,2.4m - 3.3m (6.8ft - 11ft),White Bengal Tiger,Mammalia,Diurnal,3 - 4 years,"White, Black, Brown, Orange",Cub,10 - 20 years,Human,None have been seen in the wild for 50 years!,White Tiger,Carnivora,Solitary,Felidae,Dense jungle and mangrove swamp,Endangered,"White fur with bright, blue eyes",140kg - 300kg (309lbs - 660lbs),Chordata
,,Ceratotherium,,,,Leather,,Animalia,,Ceratotherium simum,White Rhinoceros,Herbivore,42km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black",,45-50 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and savannas",Endangered,,"1,440-3,600kg (3,168-7,920lbs)",Chordata
,,Cebus,,,,Hair,,Animalia,,Cebus Capucinus,White Faced Capuchin,Omnivore,56km/h (35mph),,1,,,Mammalia,Troop,,"Black, White, Grey",,16-40 years,"Human, Snakes, Eagles",,,Primates,,Cebidae,High tropical forests and wet lowland regions,Least Concern,,2.9-3.9kg (6.4-8.6lbs),Chordata
,,Rhincodon,,,,Smooth,,Animalia,,Rhincodon Typus,Whale Shark,Carnivore,16km/h (10mph),,12,,,Chondrichthyes,Solitary,,"Brown, Blue, Grey",,60-70 years,"Human, Sharks, Killer Whale",,,Orectolobiformes,,Rhincodontidae,Warm coastal waters and open ocean,Threatened,,"13,607-18,144kg (15-20tons)",Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Gorilla Gorilla,Western Lowland Gorilla,Herbivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Grey",,35 - 50 years,"Human, Leopard, Crocodile",,,Primates,,Hominidae,Rainforest and dense jungle,Critically Endangered,,100kg - 200kg (220lbs - 440lbs),Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Gorilla,Western Gorilla,Herbivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Grey",,35 - 50 years,"Human, Leopard, Crocodile",,,Primates,,Hominidae,Rainforest and dense jungle,Critically Endangered,,100kg - 200kg (220lbs - 440lbs),Chordata
10,Mammal,Mustela,Lack of prey species,"Mice, Lemmings, Voles",Northern Hemisphere,Fur,5 weeks,Animalia,8 weeks,Mustela nivalis,Weasel,Carnivore,25kph (15mph),Stable,5,22cm - 38cm (8.6in - 15in),"Common Weasel, European Weasel, Least Weasel",Mammalia,Diurnal/Nocturnal,1 - 2 years,"Dark and Light Brown, Tan, White, Black",Kitten,1 - 3 years,"Hawks, Foxes, Snakes",The smallest carnivorous mammal in the world!,Weasel,Carnivora,Solitary,Mustelidae,Forest and open woodland,Least Concern,Brown back and head with white underside,120g-198g (4.2oz - 7oz),Chordata
,,Physignathus,,,,Scales,,Animalia,,Physignathus,Water Dragon,Omnivore,48km/h (30mph),,,,,Reptilia,Solitary,,"Black, Brown, Tan, Yellow, Green",,10-20 years,"Snakes, Birds, Mammals",,,Squamata,,Agamidae,"Creeks, rivers and lakes",Threatened,,0.5-1kg (1.1-2.2lbs),Chordata
1,Mammal,Arvicola,Habitat loss,"Aquatic plants, Grasses, Reeds",Throughout Europe,Fur,3 weeks,Animalia,4 weeks,Arvicola amphibius,Water Vole,Herbivore,,Sustainable,6,14cm - 22cm (5.5in - 8.7in),,Mammalia,Diurnal,2 - 4 months,"Brown, Black, Grey",Pup,0.5 - 2 years,"Weasels. Owls, Pike",The largest Vole species in the UK!,Water Vole,Rodentia,Solitary,Cricetidae,Banks of slow-moving water,Least Concern,,160g - 350g (5.6oz - 12.3oz),Chordata
,,Bubalus,,,,Leather,,Animalia,,Bubalus Bubalis,Water Buffalo,Herbivore,48km/h (30mph),,1,,,Mammalia,Herd,,"Brown, Tan, Grey",,15-25 years,"Human, Wild cats, Crocodile",,,Artiodactyla,,Bovidae,Marsh and swampland,Endangered,,"400-900kg (880-2,000lbs)",Chordata
,,,,,,Shell,,Animalia,,Hymenoptera,Wasp,Omnivore,,,400,,,Insecta,,,"Yellow, Black",,,"Birds, Reptiles, Mammals",,Wasp,Hymenoptera,,,"Meadows, forests and rock faces",Least Concern,,,Arthropoda
,,Phacochoerus,,,,Hair,,Animalia,,Phacochoerus Africanus,Warthog,Omnivore,48km/h (30mph),,4,,,Mammalia,Group,,"Brown, Tan, Grey",,12-18 years,"Lion, Hyena, Crocodile",,,Artiodactyla,,Suidae,Arid savannas and grass plains,Least Concern,,50-150kg (110-330lbs),Chordata
2,Mammal,Odobenus,Hunting and habitat loss,"Shellfish, Worms, Snails",Arctic Circle,Hair,15 months,Animalia,2 years,Odobenus rosmarus,Walrus,Carnivore,35kph (22mph),"200,000 - 250,000",1,2.25m - 3.5m (7.5ft - 11.5ft),"Atlantic Walrus, Pacific Walrus",Mammalia,Diurnal,6 - 10 years,"Grey, Brown",Pup,40 - 50 years,"Humans, Killer Whales, Polar Bears",Inhabits the freezing waters of the Arctic Circle!,Walrus,Carnivora,Herd,Odobenidae,"Ice floes and rocky, remote coastlines",Near Threatened,Long tusks that can grow up to 1m long,"400kg - 1,700kg (880lbs - 3,740lbs)",Chordata
,,Macropus,,,,Fur,,Animalia,,Macropus,Wallaby,Herbivore,48km/h (30mph),,1,,,Mammalia,Herd,,"Grey, Brown, White, Tan, Red",,12-15 years,"Dingo, Fox, Large reptiles",,,Diprotodontia,,Macropodidae,Forest and shrubland,Least Concern,,1-20kg (2.2-44lbs),Chordata
,,Aegypiinae,,,,Feathers,,Animalia,,Aegypius Monachus,Vulture,Carnivore,48km/h (30mph),,,,,Aves,Solitary,,"Black, White, Grey, Tan, Brown",,20 - 30 years,"Hawks, Snakes, Wild cats",,,Accipitriformes,,Accipitridae,"Deserts, savannah and grassland near water",Endangered,,0.85kg - 2.2kg (1.9lbs - 5lbs),Chordata
6,Mammal,Chlorocebus,Habitat loss,"Leaves, Fruits, Insects",Eastern Africa,Fur,163 days,Animalia,8 - 12 months,Chlorocebus pygerythrus,Vervet Monkey,Omnivore,45kph (30mph),Sustainable,1,46cm - 66cm (17.9in - 25.7in),Vervet,Mammalia,Diurnal,2 - 5 years,"Olive, Grey, Brown, Black, Silver",Infant,12 - 24 years,"Leopard, Serval, Crocodile",Rarely found more than 450m from trees!,Vervet Monkey,Primates,Troop,Cercopithecidae,Riverine acacia forests,Least Concern,Black face with white ear tufts,3.5kg - 5kg (7lbs - 10lbs),Chordata
3,Bird,Cephalopterus,Habitat loss,"Fruit, Frogs, Insects",Central and South America,Feathers,,Animalia,,Cephalopterus,Umbrellabird,Omnivore,,Declining,,,,Aves,Diurnal,2 - 4 years,Black,Chick,12 - 20 years,"Monkeys, Snakes, Hawks",Migrates up and down the mountains!,Umbrellabird,Passeriformes,Solitary,Cotingidae,Low and high altitude rainforest,Vulnerable,,320g - 570g (11.3oz - 20oz),Chordata
3,Mammal,,Habitat loss,"Cows, Pigs, Tapir",Central and South America,Fur,3 - 4 months,Animalia,3 - 5 months,Desmodontinae,Vampire Bat,Carnivore,40km/h (25mph),Sustainable,1,,,Mammalia,Nocturnal,9 - 10 months,"Brown, Grey, Black",Pup,8 - 12 years,"Eagles. Hawks, Humans",Have a heat sensor on the end of their nose!,Vampire Bat,Chiroptera,Solitary,Phyllostomidae,Tropical and subtropical regions,Least Concern,Razor-sharp front teeth,19g - 57g (0.7oz - 2oz),Chordata
1,Bird,Cettia,Habitat loss,"Insects, Worms, Berries","Japan, China, Korea",Feathers,,Animalia,,Cettia diphone,Uguisu,Omnivore,29kph (18mph),Stable,,14cm - 16.5cm (5.5in - 6.5in),"Japanese Bush-Warbler, Singing Bush-warbler, Oriental Bush-warbler",Aves,Diurnal,10 - 12 months,"Olive, Brown, Green",Chick,2 - 5 years,"Cats, Snakes, Birds Of Prey",Their guano is used in face creams!,Uguisu,Passeriformes,Solitary,Cettiidae,lowlands and mountain forests,Least Concern,Has light-coloured lines above the eyes,15g - 22g (0.5oz - 0.7oz),Chordata
4,Mammal,Cacajao,Hunting and habitat loss,"Fruits, Leaves, Insects",Amazon River Basin,Fur,Unknown,Animalia,3 - 5 months,Cacajao,Uakari,Omnivore,,Not Known,1,38cm - 57cm (15in - 22.5in),,Mammalia,Diurnal,3 - 6 years,"Red, Brown, White, Black",Infant,16 - 22 years,"Hawks, Snakes, Humans",Have a very short tail for their size!,Uakari,Primates,Troop,Pitheciidae,Part-flooded rainforest,Vulnerable,Hairless face and forehead,3kg - 3.5kg (6.5lbs - 7.75lbs),Chordata
,,Meleagris,,,,Feathers,,Animalia,,Meleagris,Turkey,Omnivore,10km/h (6mph),,,,,Aves,Flock,,"Black, White, Brown, Yellow, Green, Blue, Red",,1-10 years,"Fox, Snake, Raccoon",,,Galliformes,,Phasianidae,"Forest, shrubland and grassy plains",Least Concern,,3-11kg (6.6-24lbs),Chordata
,,Phaethon,,,,Feathers,,Animalia,,Phaethon,Tropicbird,Carnivore,48km/h (30mph),,,75cm - 100cm (30in - 40in),,Aves,Flock,,"Black, White, Brown,Yellow",,10 - 16 years,"Dogs, Cats, Stouts",,,Phaethontiformes,,Phaethontidae,Tropical islands and cliffs,Least Concern,,0.3kg - 0.7kg (0.6lbs - 1.5lbs),Chordata
,,,,,,Permeable,,Animalia,,Hyla,Tree Frog,Carnivore,17km/h (10mph),,,,,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow",,2-4 years,"Birds, Mammals, Reptiles",,,Anura,,Hylidae,"Forests, woodlands and marshes",Least Concern,,2-17g (0.07-0.6oz),Chordata
